,,,Before Mutation,,,,,After Mutation
Mutant Filename,Mutation Operator,Start Line#,Start Col#,End Line#,End Col#,Target Token,Start Line#,Start Col#,End Line#,End Col#,Mutated Token,Extra Info
BinaryGlobal.MUT201.c,OAAN,21,24,21,25,-,21,24,21,25,/,-/,binary
BinaryGlobal.MUT202.c,CGCR,21,26,21,27,1,21,26,21,27,5,,binary
BinaryGlobal.MUT203.c,CLCR,21,26,21,27,1,21,26,21,27,0,,binary
BinaryGlobal.MUT204.c,CLCR,21,26,21,27,1,21,26,21,27,2,,binary
BinaryGlobal.MUT205.c,CGSR,25,17,25,20,key,25,17,25,18,5,,binary
BinaryGlobal.MUT206.c,CLSR,25,17,25,20,key,25,17,25,18,0,,binary
BinaryGlobal.MUT207.c,CLSR,25,17,25,20,key,25,17,25,18,1,,binary
BinaryGlobal.MUT208.c,CLSR,25,17,25,20,key,25,17,25,18,2,,binary
BinaryGlobal.MUT209.c,CRCR,25,17,25,20,key,25,17,25,21,(-1),-1,binary
BinaryGlobal.MUT210.c,CRCR,25,17,25,20,key,25,17,25,20,(0),0,binary
BinaryGlobal.MUT211.c,CRCR,25,17,25,20,key,25,17,25,20,(1),1,binary
BinaryGlobal.MUT212.c,CRCR,25,17,25,20,key,25,17,25,22,(127),max,binary
BinaryGlobal.MUT213.c,CRCR,25,17,25,20,key,25,17,25,23,(-128),min,binary
BinaryGlobal.MUT214.c,VGSR,25,17,25,20,key,25,17,25,22,count,,binary
BinaryGlobal.MUT215.c,VLSR,25,17,25,20,key,25,17,25,20,low,,binary
BinaryGlobal.MUT216.c,VLSR,25,17,25,20,key,25,17,25,21,high,,binary
BinaryGlobal.MUT217.c,VLSR,25,17,25,20,key,25,17,25,20,mid,,binary
BinaryGlobal.MUT218.c,VTWD,25,17,25,20,key,25,17,25,24,(key+1),plus,binary
BinaryGlobal.MUT219.c,VTWD,25,17,25,20,key,25,17,25,24,(key-1),minus,binary
BinaryGlobal.MUT220.c,ORRN,25,21,25,22,>,25,21,25,23,!=,>!=,binary
BinaryGlobal.MUT221.c,ORRN,25,21,25,22,>,25,21,25,22,<,><,binary
BinaryGlobal.MUT222.c,ORRN,25,21,25,22,>,25,21,25,23,<=,><=,binary
BinaryGlobal.MUT223.c,ORRN,25,21,25,22,>,25,21,25,23,==,>==,binary
BinaryGlobal.MUT224.c,ORRN,25,21,25,22,>,25,21,25,23,>=,>>=,binary
BinaryGlobal.MUT225.c,CRCR,25,23,25,32,item[mid],25,23,25,27,(-1),-1,binary
BinaryGlobal.MUT226.c,CRCR,25,23,25,32,item[mid],25,23,25,26,(0),0,binary
BinaryGlobal.MUT227.c,CRCR,25,23,25,32,item[mid],25,23,25,26,(1),1,binary
BinaryGlobal.MUT228.c,CRCR,25,23,25,32,item[mid],25,23,25,28,(127),max,binary
BinaryGlobal.MUT229.c,CRCR,25,23,25,32,item[mid],25,23,25,29,(-128),min,binary
BinaryGlobal.MUT230.c,VGSR,25,23,25,32,item[mid],25,23,25,28,count,,binary
BinaryGlobal.MUT231.c,VLSR,25,23,25,32,item[mid],25,23,25,26,key,,binary
BinaryGlobal.MUT232.c,VLSR,25,23,25,32,item[mid],25,23,25,26,low,,binary
BinaryGlobal.MUT233.c,VLSR,25,23,25,32,item[mid],25,23,25,27,high,,binary
BinaryGlobal.MUT234.c,VLSR,25,23,25,32,item[mid],25,23,25,26,mid,,binary
BinaryGlobal.MUT235.c,VTWD,25,23,25,32,item[mid],25,23,25,33,(item[mid]+1),plus,binary
BinaryGlobal.MUT236.c,VTWD,25,23,25,32,item[mid],25,23,25,33,(item[mid]-1),minus,binary
BinaryGlobal.MUT237.c,CGSR,25,28,25,31,mid,25,28,25,29,5,,binary
BinaryGlobal.MUT238.c,CLSR,25,28,25,31,mid,25,28,25,29,0,,binary
BinaryGlobal.MUT239.c,CLSR,25,28,25,31,mid,25,28,25,29,1,,binary
BinaryGlobal.MUT240.c,CLSR,25,28,25,31,mid,25,28,25,29,2,,binary
BinaryGlobal.MUT241.c,CRCR,25,28,25,31,mid,25,28,25,32,(-1),-1,binary
BinaryGlobal.MUT242.c,CRCR,25,28,25,31,mid,25,28,25,31,(0),0,binary
BinaryGlobal.MUT243.c,CRCR,25,28,25,31,mid,25,28,25,31,(1),1,binary
BinaryGlobal.MUT244.c,CRCR,25,28,25,31,mid,25,28,25,33,(2147483647),max,binary
BinaryGlobal.MUT245.c,CRCR,25,28,25,31,mid,25,28,25,33,(-2147483648),min,binary
BinaryGlobal.MUT246.c,VGSR,25,28,25,31,mid,25,28,25,33,count,,binary
BinaryGlobal.MUT247.c,VLSR,25,28,25,31,mid,25,28,25,31,key,,binary
BinaryGlobal.MUT248.c,VLSR,25,28,25,31,mid,25,28,25,31,low,,binary
BinaryGlobal.MUT249.c,VLSR,25,28,25,31,mid,25,28,25,32,high,,binary
BinaryGlobal.MUT250.c,VTWD,25,28,25,31,mid,25,28,25,33,(mid+1),plus,binary
BinaryGlobal.MUT251.c,VTWD,25,28,25,31,mid,25,28,25,33,(mid-1),minus,binary
BinaryGlobal.MUT252.c,VGSR,27,17,27,20,low,27,17,27,22,count,,binary
BinaryGlobal.MUT253.c,VLSR,27,17,27,20,low,27,17,27,20,key,,binary
BinaryGlobal.MUT254.c,VLSR,27,17,27,20,low,27,17,27,21,high,,binary
BinaryGlobal.MUT255.c,VLSR,27,17,27,20,low,27,17,27,20,mid,,binary
BinaryGlobal.MUT256.c,OEAA,27,21,27,22,=,27,21,27,23,%=,=%=,binary
BinaryGlobal.MUT257.c,OEAA,27,21,27,22,=,27,21,27,23,*=,=*=,binary
BinaryGlobal.MUT258.c,OEAA,27,21,27,22,=,27,21,27,23,+=,=+=,binary
BinaryGlobal.MUT259.c,OEAA,27,21,27,22,=,27,21,27,23,-=,=-=,binary
BinaryGlobal.MUT260.c,OEAA,27,21,27,22,=,27,21,27,23,/=,=/=,binary
BinaryGlobal.MUT261.c,CGSR,27,23,27,26,mid,27,23,27,24,5,,binary
BinaryGlobal.MUT262.c,CLSR,27,23,27,26,mid,27,23,27,24,0,,binary
BinaryGlobal.MUT263.c,CLSR,27,23,27,26,mid,27,23,27,24,1,,binary
BinaryGlobal.MUT264.c,CLSR,27,23,27,26,mid,27,23,27,24,2,,binary
BinaryGlobal.MUT265.c,CRCR,27,23,27,26,mid,27,23,27,27,(-1),-1,binary
BinaryGlobal.MUT266.c,CRCR,27,23,27,26,mid,27,23,27,26,(0),0,binary
BinaryGlobal.MUT267.c,CRCR,27,23,27,26,mid,27,23,27,26,(1),1,binary
BinaryGlobal.MUT268.c,CRCR,27,23,27,26,mid,27,23,27,31,(2147483647),max,binary
BinaryGlobal.MUT269.c,CRCR,27,23,27,26,mid,27,23,27,31,(-2147483648),min,binary
BinaryGlobal.MUT270.c,VGSR,27,23,27,26,mid,27,23,27,28,count,,binary
BinaryGlobal.MUT271.c,VLSR,27,23,27,26,mid,27,23,27,26,key,,binary
BinaryGlobal.MUT272.c,VLSR,27,23,27,26,mid,27,23,27,26,low,,binary
BinaryGlobal.MUT273.c,VLSR,27,23,27,26,mid,27,23,27,27,high,,binary
BinaryGlobal.MUT274.c,VTWD,27,23,27,26,mid,27,23,27,30,(mid+1),plus,binary
BinaryGlobal.MUT275.c,VTWD,27,23,27,26,mid,27,23,27,30,(mid-1),minus,binary
BinaryGlobal.MUT276.c,OAAN,27,27,27,28,+,27,27,27,28,%,+%,binary
BinaryGlobal.MUT277.c,OAAN,27,27,27,28,+,27,27,27,28,*,+*,binary
BinaryGlobal.MUT278.c,OAAN,27,27,27,28,+,27,27,27,28,-,+-,binary
BinaryGlobal.MUT279.c,OAAN,27,27,27,28,+,27,27,27,28,/,+/,binary
BinaryGlobal.MUT280.c,CGCR,27,29,27,30,1,27,29,27,30,5,,binary
BinaryGlobal.MUT281.c,CLCR,27,29,27,30,1,27,29,27,30,0,,binary
BinaryGlobal.MUT282.c,CLCR,27,29,27,30,1,27,29,27,30,2,,binary
